,age,body_type,diet,drinks,drugs,education,ethnicity,height,job,sign,smokes,chinese,english,german,hindi,italian,japanese,portuguese,russian,spanish,has kids,wants kids,likes dogs,likes cats,new_religion,k-proto-labels
1695,28.0,5.0,vegetarian,2.0,sometimes,graduated from college/university,mixed,66.0,artistic / musical / writer,whatever,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,yes,none,42
1696,29.0,4.0,anything,2.0,never,graduated from grad,white,64.0,education / academia,whatever,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,agnosticism,34
1697,37.0,5.0,anything,2.0,never,space camp,asian,73.0,medicine / health,whatever,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,none,4
1698,50.0,5.0,anything,0.0,never,graduated from grad,mixed,67.0,other,whatever,no,no,yes,no,no,no,no,no,no,yes,no,yes,no,no,other,27
1699,22.0,4.0,anything,1.0,never,graduated from college/university,mixed,67.0,artistic / musical / writer,whatever,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,agnosticism,33
1700,33.0,2.0,anything,2.0,sometimes,graduated from college/university,mixed,63.0,education / academia,whatever,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,none,35
1701,29.0,3.0,anything,2.0,sometimes,graduated from grad,mixed,70.0,artistic / musical / writer,whatever,no,no,yes,no,no,no,no,no,no,yes,no,yes,yes,no,none,32
1702,29.0,2.0,anything,3.0,sometimes,working on high school,white,67.0,other,does_not_matter,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,atheism,22
1703,26.0,3.0,anything,2.0,never,graduated from college/university,asian,78.0,computer / hardware / software,whatever,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,no,none,25
1704,22.0,3.0,anything,4.0,sometimes,graduated from college/university,white,76.0,artistic / musical / writer,whatever,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,none,15
1705,63.0,3.0,anything,3.0,never,graduated from college/university,white,67.0,science / tech / engineering,does_not_matter,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,other,45
1706,24.0,3.0,anything,2.0,never,graduated from college/university,white,68.0,banking / financial / real estate,whatever,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,none,26
1707,27.0,4.0,anything,2.0,sometimes,graduated from high school,white,73.0,computer / hardware / software,does_not_matter,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,no,atheism,25
1708,22.0,4.0,anything,3.0,often,working on grad,white,73.0,student,whatever,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,none,15
1709,23.0,3.0,anything,0.0,never,graduated from college/university,white,65.0,other,does_not_matter,sometimes,no,yes,no,no,no,no,no,yes,no,no,no,yes,yes,judaism,41
1710,24.0,5.0,anything,2.0,never,graduated from college/university,asian,67.0,banking / financial / real estate,does_not_matter,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,atheism,33
1711,43.0,5.0,anything,2.0,never,graduated from college/university,mixed,65.0,other,whatever,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,christianity,2
1712,25.0,5.0,anything,2.0,never,graduated from college/university,asian,70.0,political / government,whatever,no,yes,yes,no,no,no,no,no,no,no,no,yes,no,no,none,1
1713,29.0,5.0,anything,0.0,never,working on college/university,mixed,65.0,executive / management,whatever,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,none,34
1714,58.0,2.0,anything,2.0,never,graduated from grad,white,64.0,executive / management,does_not_matter,no,no,yes,no,no,no,no,no,no,no,yes,no,no,yes,judaism,31
1715,64.0,3.0,anything,3.0,never,graduated from grad,white,65.0,medicine / health,whatever,no,no,yes,no,no,no,no,no,no,yes,no,no,yes,yes,none,45
1716,28.0,2.0,anything,2.0,never,working on college/university,mixed,68.0,banking / financial / real estate,whatever,sometimes,no,yes,no,no,no,no,no,no,no,yes,no,yes,no,catholicism,22
1717,28.0,5.0,anything,2.0,never,working on grad,indian,64.0,student,whatever,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,christianity,42
1718,34.0,3.0,anything,1.0,never,graduated from high school,asian,69.0,political / government,does_not_matter,no,yes,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,none,12
1719,24.0,5.0,anything,2.0,never,graduated from college/university,mixed,75.0,banking / financial / real estate,whatever,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,atheism,15
1720,37.0,2.0,vegetarian,0.0,never,graduated from college/university,mixed,62.0,education / academia,whatever,yes,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,other,43
1721,30.0,6.0,anything,2.0,never,graduated from college/university,white,68.0,entertainment / media,whatever,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,none,17
1722,41.0,3.0,anything,1.0,never,graduated from college/university,white,63.0,medicine / health,whatever,no,no,yes,no,no,no,no,no,no,yes,yes,no,no,yes,judaism,6
1723,29.0,5.0,other,0.0,sometimes,space camp,white,75.0,science / tech / engineering,does_not_matter,when drinking,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,agnosticism,25
1724,47.0,3.0,anything,1.0,never,graduated from college/university,white,69.0,construction / craftsmanship,does_not_matter,no,no,yes,no,no,no,no,no,no,yes,no,yes,yes,yes,christianity,27
1725,31.0,5.0,other,1.0,never,working on grad,mixed,63.0,entertainment / media,whatever,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,other,34
1726,31.0,3.0,vegetarian,2.0,never,working on college/university,hispanic / latin,68.0,military,does_not_matter,no,no,yes,no,no,no,no,no,no,yes,no,yes,yes,yes,christianity,22
1727,26.0,5.0,vegetarian,2.0,never,working on college/university,mixed,72.0,hospitality / travel,whatever,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,yes,other,0
1728,40.0,5.0,vegetarian,2.0,never,graduated from college/university,white,66.0,executive / management,whatever,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,yes,agnosticism,20
1729,35.0,5.0,anything,1.0,never,graduated from grad,asian,64.0,artistic / musical / writer,whatever,sometimes,yes,yes,no,no,no,no,no,no,no,no,no,yes,yes,agnosticism,46
1730,44.0,5.0,vegetarian,1.0,never,graduated from grad,white,66.0,education / academia,whatever,no,no,yes,no,no,no,no,no,no,no,yes,no,yes,yes,buddhism,24
1731,25.0,5.0,anything,2.0,never,graduated from college/university,white,72.0,science / tech / engineering,does_not_matter,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,catholicism,1
1732,42.0,5.0,anything,2.0,never,graduated from high school,mixed,69.0,computer / hardware / software,whatever,trying to quit,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,agnosticism,24
1733,37.0,4.0,anything,3.0,never,graduated from grad,asian,67.0,clerical / administrative,whatever,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,yes,catholicism,36
1734,51.0,5.0,anything,2.0,never,graduated from college/university,white,66.0,medicine / health,does_not_matter,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,judaism,47
1735,46.0,2.0,anything,2.0,never,graduated from college/university,hispanic / latin,65.0,other,whatever,no,no,yes,no,no,no,no,yes,no,yes,yes,no,yes,yes,other,2
1736,35.0,5.0,vegetarian,3.0,never,graduated from college/university,white,70.0,medicine / health,whatever,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,atheism,14
1737,38.0,5.0,anything,2.0,never,graduated from college/university,white,70.0,hospitality / travel,does_not_matter,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,none,14
1738,26.0,5.0,halal,2.0,sometimes,working on grad,mixed,67.0,science / tech / engineering,whatever,trying to quit,no,yes,no,no,no,no,no,no,no,no,no,no,no,buddhism,42
1739,30.0,3.0,anything,2.0,sometimes,graduated from college/university,white,75.0,sales / marketing / biz dev,whatever,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,yes,agnosticism,23
1740,24.0,3.0,vegetarian,2.0,never,graduated from college/university,mixed,72.0,computer / hardware / software,does_not_matter,no,no,yes,no,no,no,yes,no,no,no,no,yes,yes,yes,atheism,1
1741,48.0,5.0,anything,2.0,never,graduated from grad,white,69.0,entertainment / media,whatever,no,no,yes,no,no,no,no,no,no,yes,no,no,yes,yes,judaism,27
1742,36.0,2.0,anything,0.0,never,graduated from college/university,white,69.0,education / academia,whatever,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,none,14
1743,49.0,5.0,anything,2.0,never,graduated from college/university,white,72.0,entertainment / media,does_not_matter,no,no,yes,no,no,no,no,no,no,no,yes,no,yes,yes,agnosticism,21
1744,53.0,5.0,vegan,2.0,never,graduated from grad,white,66.0,sales / marketing / biz dev,whatever,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,buddhism,48
1745,21.0,3.0,anything,2.0,sometimes,graduated from college/university,asian,62.0,science / tech / engineering,whatever,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,none,18
1746,25.0,5.0,anything,2.0,sometimes,graduated from college/university,white,68.0,other,whatever,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,none,33
1747,37.0,5.0,anything,2.0,never,graduated from college/university,indian,68.0,other,whatever,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,hinduism.,14
1748,35.0,5.0,anything,2.0,never,graduated from college/university,white,74.0,computer / hardware / software,does_not_matter,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,atheism,16
1749,22.0,5.0,anything,3.0,sometimes,graduated from high school,white,66.0,sales / marketing / biz dev,whatever,sometimes,no,yes,no,no,no,no,no,no,no,no,no,no,no,agnosticism,33
1750,46.0,2.0,anything,1.0,never,working on college/university,mixed,66.0,student,whatever,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,other,2
1751,30.0,2.0,vegetarian,2.0,never,space camp,white,74.0,education / academia,whatever,trying to quit,no,yes,no,no,no,no,no,no,yes,no,no,yes,yes,agnosticism,23
1752,34.0,2.0,anything,2.0,sometimes,graduated from college/university,hispanic / latin,64.0,hospitality / travel,does_not_matter,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,agnosticism,35
1753,26.0,3.0,vegetarian,2.0,never,graduated from college/university,white,64.0,medicine / health,whatever,no,no,yes,no,no,no,no,no,no,no,yes,no,no,yes,other,49
1754,25.0,5.0,anything,0.0,never,graduated from college/university,white,69.0,other,whatever,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,christianity,26
1755,44.0,3.0,anything,2.0,sometimes,graduated from college/university,white,66.0,science / tech / engineering,whatever,when drinking,no,yes,no,no,no,no,no,no,no,no,no,yes,no,none,2
1756,25.0,4.0,anything,2.0,never,working on college/university,hispanic / latin,66.0,student,whatever,when drinking,no,yes,no,no,no,no,no,no,no,no,no,no,no,none,33
1757,42.0,5.0,anything,1.0,never,graduated from college/university,asian,64.0,computer / hardware / software,does_not_matter,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,none,6
1758,21.0,3.0,anything,1.0,never,working on college/university,white,67.0,artistic / musical / writer,whatever,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,atheism,8
1759,30.0,5.0,anything,3.0,never,graduated from college/university,white,76.0,computer / hardware / software,does_not_matter,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,agnosticism,30
1760,24.0,3.0,anything,2.0,never,graduated from college/university,black,63.0,artistic / musical / writer,whatever,no,no,yes,no,no,no,no,no,no,yes,no,no,yes,yes,none,3
1761,33.0,5.0,anything,3.0,never,graduated from grad,asian,66.0,computer / hardware / software,whatever,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,catholicism,46
1762,40.0,4.0,anything,2.0,never,graduated from college/university,asian,62.0,other,whatever,no,yes,yes,no,no,no,no,no,no,no,no,no,yes,yes,agnosticism,6
1763,31.0,5.0,anything,2.0,never,graduated from college/university,white,75.0,other,whatever,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,none,23
1764,37.0,3.0,anything,1.0,never,graduated from college/university,white,76.0,other,matters,no,no,yes,no,no,no,no,no,no,no,yes,no,yes,yes,other,16
1765,38.0,3.0,anything,2.0,sometimes,graduated from high school,white,68.0,executive / management,does_not_matter,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,atheism,5
1766,29.0,5.0,anything,2.0,never,graduated from college/university,white,62.0,other,whatever,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,none,13
1767,38.0,2.0,anything,2.0,sometimes,graduated from college/university,white,68.0,political / government,whatever,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,christianity,5
1768,27.0,5.0,anything,2.0,never,graduated from college/university,white,72.0,banking / financial / real estate,whatever,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,none,0
1769,33.0,5.0,other,2.0,never,graduated from grad,white,68.0,medicine / health,whatever,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,other,40
1770,36.0,5.0,other,0.0,never,graduated from college/university,white,68.0,medicine / health,whatever,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,other,14
1771,28.0,3.0,anything,2.0,never,graduated from college/university,white,74.0,other,whatever,no,no,yes,no,no,no,no,no,no,yes,no,yes,yes,no,none,25
1772,24.0,3.0,anything,3.0,sometimes,graduated from college/university,hispanic / latin,69.0,artistic / musical / writer,whatever,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,none,26
1773,37.0,3.0,anything,2.0,never,space camp,white,70.0,artistic / musical / writer,does_not_matter,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,yes,agnosticism,14
1774,46.0,3.0,anything,2.0,never,graduated from grad,hispanic / latin,71.0,education / academia,whatever,no,no,yes,no,no,no,no,no,no,yes,no,no,yes,no,christianity,28
1775,39.0,2.0,anything,2.0,sometimes,graduated from college/university,mixed,61.0,political / government,whatever,sometimes,no,yes,no,no,no,no,no,no,no,no,no,no,no,agnosticism,43
1776,24.0,3.0,anything,2.0,never,working on grad,white,69.0,student,whatever,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,none,26
1777,25.0,5.0,anything,2.0,sometimes,graduated from college/university,black,70.0,science / tech / engineering,does_not_matter,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,agnosticism,26
1778,49.0,5.0,anything,2.0,never,graduated from high school,asian,66.0,artistic / musical / writer,whatever,trying to quit,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,other,27
1779,28.0,5.0,anything,2.0,never,space camp,asian,72.0,executive / management,whatever,trying to quit,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,christianity,0
1780,26.0,5.0,vegetarian,2.0,never,graduated from college/university,white,69.0,hospitality / travel,does_not_matter,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,yes,atheism,37
1781,23.0,2.0,anything,3.0,sometimes,graduated from college/university,asian,63.0,sales / marketing / biz dev,whatever,when drinking,no,yes,no,no,no,no,no,no,no,no,yes,yes,no,atheism,41
1782,40.0,3.0,anything,2.0,never,graduated from grad,white,65.0,other,whatever,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,none,6
1783,22.0,5.0,anything,2.0,never,working on college/university,white,71.0,computer / hardware / software,does_not_matter,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,none,29
1784,23.0,4.0,anything,2.0,never,graduated from college/university,asian,67.0,science / tech / engineering,whatever,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,agnosticism,33
1785,53.0,5.0,anything,2.0,never,graduated from grad,mixed,62.0,banking / financial / real estate,whatever,no,no,yes,no,no,no,no,no,no,no,yes,no,yes,no,atheism,47
1786,43.0,3.0,anything,0.0,never,graduated from college/university,asian,71.0,clerical / administrative,whatever,no,yes,yes,no,no,no,no,no,no,no,no,yes,no,no,buddhism,39
1787,26.0,5.0,anything,2.0,sometimes,graduated from college/university,asian,71.0,sales / marketing / biz dev,does_not_matter,yes,yes,yes,no,no,no,no,no,no,no,no,no,yes,no,catholicism,0
1788,37.0,4.0,anything,3.0,sometimes,graduated from grad,white,73.0,education / academia,does_not_matter,no,no,yes,no,no,no,no,no,no,yes,no,no,yes,yes,none,4
1789,34.0,5.0,anything,2.0,never,graduated from college/university,white,74.0,science / tech / engineering,does_not_matter,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,no,atheism,16
1790,29.0,4.0,anything,2.0,never,working on college/university,mixed,62.0,other,whatever,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,yes,catholicism,13
1791,43.0,3.0,anything,0.0,never,graduated from grad,asian,70.0,education / academia,whatever,no,yes,yes,no,no,no,no,no,no,no,no,no,yes,yes,agnosticism,39
1792,40.0,3.0,vegetarian,1.0,never,graduated from college/university,mixed,67.0,political / government,does_not_matter,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,no,agnosticism,5
1793,42.0,4.0,anything,2.0,never,graduated from grad,white,62.0,medicine / health,whatever,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,yes,none,6
1794,44.0,2.0,anything,3.0,never,graduated from college/university,white,66.0,executive / management,whatever,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,catholicism,2
1795,23.0,2.0,other,2.0,never,graduated from college/university,mixed,67.0,clerical / administrative,whatever,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,other,33
1796,56.0,5.0,anything,1.0,never,graduated from grad,white,66.0,medicine / health,does_not_matter,no,no,yes,yes,no,no,no,no,no,yes,yes,no,yes,yes,christianity,48
1797,46.0,5.0,anything,2.0,never,graduated from college/university,white,70.0,other,whatever,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,atheism,27
1798,27.0,5.0,anything,1.0,never,working on grad,asian,67.0,science / tech / engineering,whatever,no,yes,yes,no,no,no,no,no,no,no,no,no,yes,yes,atheism,37
1799,36.0,5.0,anything,2.0,never,graduated from college/university,white,64.0,banking / financial / real estate,whatever,no,no,yes,no,no,no,no,no,no,yes,no,no,yes,no,catholicism,36
1800,52.0,3.0,anything,1.0,sometimes,graduated from high school,native american,75.0,construction / craftsmanship,does_not_matter,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,other,21
1801,27.0,3.0,anything,2.0,never,graduated from college/university,white,72.0,student,whatever,no,no,yes,no,no,no,no,no,no,yes,no,yes,yes,no,agnosticism,0
1802,40.0,2.0,anything,2.0,never,graduated from college/university,black,69.0,executive / management,does_not_matter,no,no,yes,no,no,no,no,no,no,no,yes,no,yes,no,other,5
1803,49.0,2.0,anything,2.0,never,graduated from grad,mixed,64.0,banking / financial / real estate,does_not_matter,sometimes,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,judaism,47
1804,25.0,3.0,anything,2.0,sometimes,graduated from college/university,white,71.0,computer / hardware / software,does_not_matter,sometimes,no,yes,no,no,no,no,no,no,yes,no,no,yes,yes,other,1
1805,26.0,4.0,anything,2.0,sometimes,graduated from college/university,white,71.0,entertainment / media,whatever,yes,no,yes,no,no,no,no,no,no,yes,no,no,yes,yes,other,0
1806,26.0,4.0,anything,2.0,never,graduated from college/university,mixed,67.0,entertainment / media,whatever,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,yes,catholicism,37
1807,37.0,3.0,anything,2.0,never,graduated from college/university,white,72.0,law / legal services,does_not_matter,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,catholicism,4
1808,28.0,5.0,anything,2.0,sometimes,graduated from college/university,white,70.0,political / government,whatever,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,atheism,0
1809,19.0,3.0,anything,2.0,never,working on college/university,mixed,63.0,unemployed,does_not_matter,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,agnosticism,18
1810,28.0,5.0,other,2.0,sometimes,graduated from college/university,white,72.0,other,whatever,sometimes,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,agnosticism,0
1811,32.0,3.0,anything,2.0,never,working on college/university,white,70.0,transportation,does_not_matter,trying to quit,no,yes,yes,no,no,no,no,no,yes,no,no,yes,yes,atheism,44
1812,25.0,3.0,anything,1.0,sometimes,graduated from high school,mixed,71.0,other,matters,yes,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,other,1
1813,24.0,5.0,anything,1.0,never,working on college/university,white,74.0,other,whatever,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,atheism,15
1814,28.0,5.0,vegetarian,2.0,never,graduated from grad,white,67.0,other,does_not_matter,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,agnosticism,17
1815,30.0,5.0,anything,2.0,never,graduated from college/university,asian,64.0,banking / financial / real estate,does_not_matter,no,no,yes,no,no,no,no,no,no,no,no,yes,no,yes,christianity,34
1816,27.0,2.0,anything,2.0,never,graduated from college/university,white,62.0,entertainment / media,does_not_matter,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,agnosticism,13
1817,24.0,3.0,anything,2.0,never,graduated from college/university,asian,71.0,science / tech / engineering,whatever,no,yes,yes,no,no,no,no,no,no,no,no,yes,no,yes,none,1
1818,25.0,5.0,anything,2.0,never,graduated from college/university,white,68.0,other,does_not_matter,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,atheism,33
1819,40.0,5.0,anything,2.0,never,graduated from college/university,white,65.0,medicine / health,whatever,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,yes,none,6
1820,30.0,5.0,anything,2.0,never,working on college/university,hispanic / latin,69.0,military,whatever,sometimes,no,yes,no,no,no,no,no,no,yes,yes,no,yes,yes,catholicism,32
1821,55.0,5.0,anything,0.0,never,graduated from high school,asian,64.0,retired,whatever,no,no,yes,no,no,no,no,no,no,no,yes,no,yes,yes,other,31
1822,48.0,2.0,anything,1.0,never,graduated from college/university,hispanic / latin,65.0,education / academia,whatever,no,no,yes,no,no,no,no,no,no,yes,yes,no,no,yes,catholicism,47
1823,24.0,5.0,anything,2.0,never,graduated from college/university,asian,67.0,medicine / health,does_not_matter,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,none,33
1824,59.0,3.0,anything,1.0,never,graduated from college/university,white,66.0,construction / craftsmanship,whatever,no,no,yes,no,no,no,no,no,no,no,yes,no,yes,yes,other,31
1825,34.0,3.0,anything,2.0,never,graduated from grad,white,67.0,law / legal services,whatever,no,no,yes,no,no,no,no,no,no,no,yes,no,yes,no,christianity,12
1826,41.0,3.0,anything,2.0,never,graduated from high school,black,62.0,transportation,whatever,no,no,yes,no,no,no,no,no,no,no,yes,no,yes,no,none,6
1827,38.0,3.0,anything,2.0,never,graduated from college/university,white,70.0,computer / hardware / software,whatever,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,yes,none,5
1828,34.0,3.0,anything,1.0,never,graduated from college/university,white,73.0,sales / marketing / biz dev,whatever,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,christianity,16
1829,27.0,5.0,anything,2.0,never,graduated from grad,asian,67.0,computer / hardware / software,whatever,when drinking,no,yes,no,no,no,no,no,no,no,no,yes,no,no,none,42
1830,32.0,5.0,anything,2.0,never,graduated from grad,mixed,69.0,medicine / health,whatever,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,no,christianity,40
1831,26.0,5.0,anything,2.0,sometimes,graduated from college/university,hispanic / latin,68.0,entertainment / media,does_not_matter,trying to quit,no,yes,no,no,no,no,no,no,yes,no,yes,no,no,christianity,37
1832,26.0,2.0,anything,2.0,never,graduated from college/university,mixed,64.0,education / academia,whatever,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,no,none,49
1833,27.0,4.0,vegetarian,3.0,sometimes,graduated from college/university,white,73.0,unemployed,whatever,yes,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,atheism,25
1834,63.0,3.0,anything,2.0,never,graduated from college/university,white,71.0,other,whatever,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,christianity,7
1835,21.0,2.0,anything,2.0,sometimes,working on college/university,white,69.0,other,whatever,when drinking,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,christianity,9
1836,30.0,5.0,anything,2.0,never,graduated from college/university,white,71.0,hospitality / travel,whatever,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,no,buddhism,32
1837,26.0,5.0,vegetarian,1.0,sometimes,graduated from grad,white,67.0,education / academia,whatever,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,judaism,37
1838,58.0,4.0,anything,2.0,never,graduated from college/university,white,67.0,sales / marketing / biz dev,whatever,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,none,31
1839,35.0,4.0,anything,2.0,never,graduated from grad,white,65.0,medicine / health,whatever,no,no,yes,no,no,no,no,no,yes,no,no,yes,no,no,none,46
1840,28.0,3.0,anything,2.0,sometimes,graduated from college/university,black,77.0,education / academia,whatever,trying to quit,no,yes,no,no,no,no,no,no,yes,no,yes,yes,yes,other,30
1841,33.0,3.0,anything,1.0,never,graduated from high school,white,68.0,computer / hardware / software,whatever,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,other,12
1842,61.0,5.0,anything,2.0,never,graduated from grad,white,67.0,executive / management,whatever,no,no,yes,no,no,yes,no,no,no,yes,no,no,yes,no,none,45
1843,31.0,5.0,anything,2.0,never,graduated from college/university,mixed,66.0,computer / hardware / software,whatever,no,no,yes,no,no,no,no,no,no,yes,no,yes,yes,yes,atheism,17
1844,30.0,3.0,anything,1.0,never,graduated from grad,asian,69.0,medicine / health,whatever,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,agnosticism,32
1845,30.0,4.0,anything,2.0,sometimes,graduated from grad,white,72.0,science / tech / engineering,whatever,when drinking,no,yes,no,no,no,no,no,no,no,no,no,no,no,none,23
1846,37.0,4.0,anything,2.0,never,graduated from grad,white,64.0,science / tech / engineering,whatever,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,judaism,36
1847,53.0,3.0,vegetarian,1.0,never,graduated from grad,white,69.0,education / academia,does_not_matter,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,yes,other,48
1848,22.0,5.0,anything,3.0,sometimes,graduated from college/university,white,72.0,science / tech / engineering,whatever,sometimes,no,yes,yes,no,no,no,no,no,no,no,no,no,no,none,1
1849,33.0,3.0,anything,2.0,sometimes,graduated from grad,white,71.0,education / academia,whatever,no,no,yes,no,no,no,no,no,no,yes,no,no,yes,no,catholicism,44
1850,50.0,3.0,other,1.0,never,graduated from college/university,white,66.0,medicine / health,does_not_matter,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,other,47
1851,22.0,4.0,vegetarian,2.0,sometimes,graduated from college/university,mixed,62.0,medicine / health,does_not_matter,when drinking,no,yes,no,no,no,no,no,no,no,no,yes,yes,yes,atheism,18
1852,30.0,4.0,anything,2.0,never,graduated from college/university,white,70.0,banking / financial / real estate,whatever,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,none,32
1853,52.0,5.0,anything,2.0,never,graduated from college/university,black,71.0,banking / financial / real estate,does_not_matter,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,other,21
1854,23.0,5.0,anything,2.0,sometimes,graduated from high school,white,64.0,artistic / musical / writer,whatever,sometimes,no,yes,no,no,no,no,no,no,no,no,yes,no,no,other,41
1855,31.0,3.0,vegetarian,2.0,never,graduated from high school,hispanic / latin,69.0,artistic / musical / writer,matters,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,other,32
1856,25.0,5.0,vegetarian,3.0,never,graduated from college/university,asian,64.0,artistic / musical / writer,whatever,when drinking,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,other,42
1857,32.0,3.0,vegan,1.0,never,graduated from college/university,white,65.0,student,whatever,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,other,46
1858,49.0,3.0,vegetarian,2.0,never,graduated from college/university,white,65.0,sales / marketing / biz dev,does_not_matter,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,buddhism,47
1859,27.0,3.0,anything,1.0,never,working on college/university,black,66.0,sales / marketing / biz dev,does_not_matter,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,christianity,49
