,Unnamed: 0,age,status,sex,orientation,body_type,diet,drinks,drugs,education,ethnicity,height,job,location,sign,smokes,arabic,chinese,english,german,hindi,italian,japanese,korean,portuguese,russian,spanish,turkish,has kids,wants kids,likes dogs,likes cats,new_religion
6059,17314,43,single,m,straight,3,anything,2,never,graduated from college/university,asian,66.0,computer / hardware / software,A,does_not_matter,when drinking,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,catholicism
9313,26603,27,single,m,straight,2,anything,2,sometimes,graduated from college/university,white,74.0,entertainment / media,A,whatever,sometimes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,judaism
6772,19318,24,single,m,straight,5,anything,2,never,working on college/university,mixed,74.0,science / tech / engineering,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,christianity
6139,17551,26,single,m,straight,5,anything,2,never,graduated from college/university,asian,66.0,other,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,yes,no,Tatheism
9035,25803,26,single,m,straight,3,anything,2,never,working on college/university,mixed,71.0,other,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,judaism
4677,13411,28,single,m,straight,5,anything,3,sometimes,graduated from college/university,white,72.0,other,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,agnosticism
15270,43624,26,single,m,straight,5,anything,2,sometimes,working on college/university,white,70.0,other,A,does_not_matter,when drinking,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,judaism
11266,32116,30,single,m,straight,4,vegetarian,1,never,graduated from college/university,white,70.0,medicine / health,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,other
20452,58839,30,single,m,straight,5,anything,2,never,working on college/university,mixed,65.0,other,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,catholicism
12017,34281,30,single,m,straight,3,anything,2,never,graduated from college/university,white,70.0,education / academia,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,agnosticism
9509,27128,34,single,m,straight,2,anything,0,never,graduated from college/university,white,71.0,executive / management,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,none
4501,12884,30,single,f,straight,5,vegetarian,1,never,graduated from grad,white,67.0,law / legal services,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,none
1385,3849,31,single,m,straight,3,anything,2,never,working on college/university,white,68.0,student,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,Tatheism
3449,9702,26,single,m,straight,5,anything,2,never,graduated from college/university,white,66.0,student,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,none
6173,17646,23,single,m,straight,3,anything,2,never,graduated from college/university,asian,68.0,science / tech / engineering,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,Tatheism
18152,52283,20,single,m,straight,5,anything,2,never,working on college/university,mixed,75.0,student,A,does_not_matter,when drinking,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,no,judaism
2528,7033,34,single,m,straight,5,anything,2,never,graduated from college/university,mixed,72.0,science / tech / engineering,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,agnosticism
2028,5683,44,single,f,straight,4,vegetarian,2,never,graduated from college/university,white,68.0,education / academia,A,does_not_matter,no,no,no,yes,no,no,no,no,no,yes,no,no,no,yes,no,no,no,christianity
3239,9090,27,single,m,straight,5,anything,3,sometimes,working on college/university,white,73.0,sales / marketing / biz dev,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,agnosticism
5567,15920,37,single,m,straight,4,anything,2,never,graduated from college/university,white,69.0,clerical / administrative,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,agnosticism
9532,27193,36,single,f,straight,3,anything,2,never,graduated from college/university,white,63.0,clerical / administrative,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,other
15956,45653,40,single,m,straight,5,anything,2,never,graduated from college/university,mixed,67.0,computer / hardware / software,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,catholicism
5542,15865,36,single,f,straight,2,anything,1,never,graduated from grad,white,62.0,education / academia,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,christianity
9793,27871,31,single,f,straight,3,anything,2,never,graduated from grad,asian,63.0,banking / financial / real estate,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,yes,yes,no,Tatheism
420,1144,38,single,m,straight,3,anything,2,sometimes,graduated from high school,white,68.0,executive / management,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,Tatheism
11985,34197,30,single,f,straight,3,anything,1,never,graduated from grad,hispanic / latin,66.0,medicine / health,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,yes,yes,no,catholicism
15252,43570,44,single,m,straight,5,anything,2,never,graduated from grad,white,67.0,education / academia,A,whatever,sometimes,no,no,yes,no,no,yes,no,no,no,no,yes,no,no,yes,yes,yes,other
10490,29952,61,single,f,straight,3,anything,2,never,graduated from grad,white,66.0,education / academia,A,whatever,no,no,no,yes,no,no,no,no,no,no,yes,no,no,yes,no,no,no,Tatheism
14729,42142,24,single,m,straight,5,anything,2,never,working on college/university,hispanic / latin,67.0,science / tech / engineering,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,yes,no,yes,yes,yes,no,catholicism
10539,30083,36,single,m,bisexual,5,other,0,never,space camp,white,68.0,medicine / health,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,other
10584,30200,24,single,m,straight,3,anything,1,never,space camp,mixed,65.0,other,A,does_not_matter,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,other
5255,15096,28,single,m,straight,5,anything,2,never,graduated from college/university,white,72.0,banking / financial / real estate,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,Tatheism
2617,7299,23,seeing someone,f,bisexual,5,anything,2,sometimes,graduated from college/university,asian,66.0,artistic / musical / writer,A,whatever,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,yes,yes,Tatheism
9295,26548,35,single,m,straight,4,other,2,never,working on college/university,white,67.0,artistic / musical / writer,A,whatever,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,agnosticism
12347,35236,35,single,m,straight,3,anything,0,never,graduated from college/university,white,68.0,other,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,yes,yes,catholicism
4912,14104,29,single,f,straight,5,anything,2,never,graduated from grad,asian,65.0,computer / hardware / software,A,does_not_matter,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,Tatheism
5260,15108,33,single,m,straight,5,anything,2,never,graduated from college/university,asian,68.0,law / legal services,A,does_not_matter,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,no,agnosticism
5682,16254,27,single,m,straight,5,anything,2,never,graduated from grad,black,70.0,law / legal services,A,whatever,sometimes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,none
8646,24781,26,single,m,straight,5,anything,2,never,graduated from college/university,asian,71.0,banking / financial / real estate,A,whatever,no,no,yes,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,Tatheism
19132,55037,28,single,m,straight,3,anything,2,sometimes,graduated from college/university,black,77.0,education / academia,A,whatever,trying to quit,no,no,yes,no,no,no,no,no,no,no,yes,no,no,yes,yes,yes,other
10102,28807,52,single,m,straight,5,anything,2,sometimes,graduated from grad,white,72.0,construction / craftsmanship,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,yes,yes,other
20477,58921,27,single,m,straight,3,anything,2,never,graduated from college/university,white,75.0,computer / hardware / software,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,Tatheism
4330,12403,43,single,f,straight,3,vegetarian,2,never,graduated from college/university,white,66.0,other,A,does_not_matter,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,no,yes,Tatheism
17013,48804,37,single,m,straight,5,anything,2,never,graduated from college/university,asian,69.0,entertainment / media,A,does_not_matter,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,yes,no,agnosticism
4203,12000,27,single,f,straight,3,anything,2,never,graduated from college/university,white,63.0,sales / marketing / biz dev,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,christianity
3832,10876,23,seeing someone,f,gay,2,vegetarian,2,sometimes,working on college/university,mixed,65.0,hospitality / travel,A,whatever,when drinking,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,yes,yes,other
4122,11756,42,single,m,straight,3,anything,2,never,graduated from college/university,white,71.0,other,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,no,no,none
2238,6249,36,single,f,straight,5,anything,2,never,graduated from college/university,white,68.0,artistic / musical / writer,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,agnosticism
5033,14461,60,single,m,straight,5,anything,2,sometimes,graduated from college/university,white,70.0,entertainment / media,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,yes,no,yes,no,no,no,buddhism
290,759,40,single,f,straight,3,vegetarian,0,never,graduated from grad,white,67.0,education / academia,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,none
4017,11394,52,single,f,straight,3,anything,1,never,graduated from college/university,white,65.0,artistic / musical / writer,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,yes,no,yes,no,yes,yes,other
16373,46900,29,single,f,straight,4,anything,2,never,graduated from grad,asian,60.0,medicine / health,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,no,catholicism
5417,15518,31,single,f,bisexual,4,anything,2,never,graduated from grad,white,67.0,executive / management,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,none
4102,11698,28,single,m,straight,5,anything,2,sometimes,graduated from college/university,white,75.0,education / academia,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,yes,yes,agnosticism
16127,46192,30,single,m,straight,1,anything,1,never,working on college/university,asian,69.0,student,A,whatever,trying to quit,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,agnosticism
10612,30265,22,single,m,straight,3,anything,2,never,graduated from college/university,white,71.0,student,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,none
16697,47891,24,single,m,straight,5,anything,2,never,graduated from high school,mixed,70.0,construction / craftsmanship,A,matters,sometimes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,catholicism
4625,13248,31,single,m,straight,5,anything,2,never,graduated from grad,white,72.0,other,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,no,other
3672,10420,32,single,m,straight,3,anything,2,never,graduated from college/university,hispanic / latin,70.0,computer / hardware / software,A,whatever,no,no,no,yes,no,no,no,no,no,yes,no,yes,no,no,no,no,no,none
20079,57755,40,single,f,straight,5,vegetarian,2,never,graduated from grad,white,64.0,political / government,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,judaism
2047,5725,24,single,f,straight,2,anything,2,never,working on grad,mixed,67.0,student,A,matters,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,christianity
9926,28306,28,single,f,straight,2,anything,2,sometimes,working on grad,white,67.0,student,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,Tatheism
4474,12819,31,single,m,straight,5,anything,0,never,graduated from grad,mixed,69.0,law / legal services,A,does_not_matter,no,no,yes,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,catholicism
300,789,36,single,f,gay,3,anything,2,never,working on grad,asian,64.0,student,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,yes,no,catholicism
16580,47550,26,single,f,straight,5,anything,2,never,graduated from college/university,white,65.0,other,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,yes,no,none
15030,43005,22,single,m,straight,3,anything,2,never,graduated from college/university,hispanic / latin,64.0,other,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,yes,no,other
2079,5813,29,single,m,straight,5,vegetarian,2,never,graduated from college/university,white,75.0,construction / craftsmanship,A,whatever,when drinking,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,yes,yes,agnosticism
1565,4333,29,single,f,straight,5,anything,2,never,graduated from grad,white,65.0,medicine / health,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,yes,yes,none
11221,31986,31,single,f,straight,2,anything,3,sometimes,graduated from college/university,white,63.0,science / tech / engineering,A,whatever,when drinking,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,other
13588,38711,27,single,m,straight,5,anything,2,never,working on college/university,white,71.0,sales / marketing / biz dev,A,does_not_matter,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,agnosticism
2311,6439,47,single,f,straight,3,anything,2,never,graduated from high school,white,68.0,executive / management,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,agnosticism
17298,49636,23,single,f,straight,2,anything,2,never,graduated from high school,mixed,68.0,other,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,christianity
11870,33874,41,single,m,straight,5,anything,2,never,graduated from grad,white,72.0,executive / management,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,none
20656,59476,24,single,m,straight,5,anything,3,never,graduated from college/university,white,71.0,sales / marketing / biz dev,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,none
10610,30262,45,single,m,gay,6,anything,3,never,graduated from grad,hispanic / latin,68.0,executive / management,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,yes,yes,no,none
6830,19480,27,single,m,straight,4,anything,2,never,graduated from college/university,white,71.0,science / tech / engineering,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,agnosticism
4209,12018,48,single,m,gay,3,vegetarian,0,never,graduated from grad,white,68.0,executive / management,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,buddhism
16296,46681,54,single,m,straight,3,anything,2,never,graduated from grad,white,71.0,sales / marketing / biz dev,A,whatever,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,none
18816,54148,26,single,f,straight,4,anything,3,sometimes,working on grad,white,64.0,education / academia,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,Tatheism
2548,7091,28,single,m,straight,3,anything,3,sometimes,graduated from college/university,white,76.0,construction / craftsmanship,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,other
11755,33574,41,single,m,straight,2,other,5,never,space camp,white,71.0,computer / hardware / software,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,none
2123,5953,27,single,f,straight,5,anything,2,never,graduated from college/university,white,64.0,artistic / musical / writer,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,other
9577,27308,24,single,f,straight,2,anything,0,never,working on grad,black,65.0,medicine / health,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,no,christianity
7775,22231,29,single,f,straight,4,anything,2,never,graduated from college/university,mixed,63.0,clerical / administrative,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,catholicism
11741,33540,41,single,f,straight,4,vegetarian,2,never,graduated from college/university,white,71.0,computer / hardware / software,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,agnosticism
11166,31825,30,single,m,gay,5,anything,2,never,graduated from college/university,asian,73.0,entertainment / media,A,whatever,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,buddhism
10814,30791,62,single,f,straight,3,vegetarian,2,never,graduated from grad,white,64.0,education / academia,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,yes,no,judaism
438,1184,34,single,f,straight,2,anything,2,never,graduated from college/university,white,67.0,education / academia,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,other
12024,34311,43,single,m,straight,5,anything,2,never,graduated from college/university,white,67.0,executive / management,A,does_not_matter,no,no,no,yes,yes,no,no,no,no,no,no,no,no,yes,no,yes,no,none
1084,3036,31,single,m,straight,5,anything,2,never,graduated from grad,mixed,65.0,science / tech / engineering,A,does_not_matter,no,no,no,yes,no,yes,no,no,no,yes,no,yes,no,no,no,yes,yes,hinduism.
12428,35458,29,single,m,straight,3,anything,2,never,graduated from college/university,white,70.0,education / academia,A,whatever,no,no,no,yes,no,no,no,no,no,yes,no,yes,no,no,no,yes,no,other
20575,59222,26,single,m,straight,5,anything,2,never,graduated from college/university,white,68.0,computer / hardware / software,A,whatever,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,yes,no,judaism
17895,51468,29,seeing someone,f,bisexual,4,other,1,sometimes,working on grad,white,71.0,student,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,yes,yes,other
9113,26024,37,single,f,bisexual,2,anything,1,never,working on grad,black,64.0,clerical / administrative,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,other
10994,31353,23,single,m,straight,5,anything,2,never,working on grad,mixed,67.0,military,A,does_not_matter,when drinking,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,yes,yes,catholicism
17176,49254,35,single,f,gay,2,anything,0,sometimes,working on college/university,white,67.0,other,A,whatever,sometimes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,other
19515,56100,28,single,f,straight,5,anything,2,never,graduated from grad,asian,70.0,executive / management,A,whatever,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,Tatheism
13513,38503,32,single,m,straight,5,anything,2,sometimes,graduated from college/university,mixed,72.0,education / academia,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,buddhism
17238,49447,62,single,m,straight,5,vegetarian,2,never,graduated from college/university,white,79.0,construction / craftsmanship,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,buddhism
18609,53563,29,single,f,straight,5,vegan,3,never,graduated from grad,white,64.0,medicine / health,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,christianity
15333,43814,31,single,f,straight,3,anything,2,sometimes,graduated from grad,white,67.0,medicine / health,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,other
6066,17325,34,single,m,straight,5,anything,3,never,graduated from college/university,hispanic / latin,66.0,science / tech / engineering,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,none
6043,17280,33,single,f,straight,3,anything,3,sometimes,graduated from grad,mixed,55.0,artistic / musical / writer,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,yes,yes,buddhism
14155,40381,24,single,m,straight,3,anything,2,sometimes,graduated from college/university,mixed,67.0,political / government,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,none
6755,19267,29,single,f,bisexual,5,vegetarian,1,never,graduated from college/university,white,65.0,other,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,other
19628,56427,28,single,m,straight,5,anything,2,never,graduated from college/university,hispanic / latin,66.0,science / tech / engineering,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,yes,yes,none
15427,44086,26,single,m,straight,5,anything,2,never,working on grad,white,70.0,student,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,judaism
7465,21353,32,single,m,straight,3,anything,3,never,graduated from college,white,71.0,computer / hardware / software,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,agnosticism
15165,43344,26,single,m,straight,3,anything,1,never,graduated from college/university,white,67.0,computer / hardware / software,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,Tatheism
11749,33561,27,single,m,straight,5,anything,2,sometimes,graduated from college/university,white,72.0,artistic / musical / writer,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,Tatheism
16981,48698,38,single,m,straight,3,anything,2,never,graduated from grad,white,70.0,science / tech / engineering,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,Tatheism
10426,29744,36,single,m,straight,5,anything,2,never,graduated from grad,white,82.0,political / government,A,does_not_matter,when drinking,no,no,yes,no,no,yes,no,no,no,no,yes,no,no,no,yes,yes,agnosticism
3697,10489,29,single,m,straight,6,anything,1,never,graduated from college/university,asian,70.0,student,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,none
15625,44613,65,married,m,gay,2,anything,2,sometimes,graduated from college/university,white,73.0,executive / management,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,agnosticism
3785,10748,32,single,m,straight,4,anything,2,sometimes,graduated from college/university,white,73.0,computer / hardware / software,A,does_not_matter,when drinking,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,Tatheism
11664,33317,44,single,m,straight,5,anything,2,never,graduated from college/university,white,73.0,medicine / health,A,does_not_matter,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,judaism
6857,19572,31,single,m,straight,3,anything,0,never,graduated from college/university,asian,64.0,entertainment / media,A,does_not_matter,no,no,yes,yes,no,no,no,yes,yes,no,no,no,no,no,yes,yes,no,christianity
16236,46499,26,seeing someone,m,bisexual,3,anything,2,never,graduated from college/university,mixed,71.0,entertainment / media,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,catholicism
13172,37586,26,single,f,straight,5,vegetarian,1,never,graduated from college/university,white,65.0,banking / financial / real estate,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,other
10227,29140,44,single,f,gay,2,anything,1,never,graduated from college/university,mixed,72.0,education / academia,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,no,no,Tatheism
8576,24614,64,single,f,straight,5,anything,2,never,graduated from high school,white,62.0,banking / financial / real estate,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,judaism
17422,50009,29,single,f,straight,3,anything,2,never,graduated from grad,indian,68.0,medicine / health,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,yes,no,christianity
19508,56083,47,single,m,straight,5,anything,0,never,graduated from college/university,mixed,70.0,other,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,yes,yes,other
10491,29954,31,single,m,straight,5,anything,3,sometimes,graduated from grad,white,68.0,entertainment / media,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,yes,yes,Tatheism
20216,58152,44,single,f,straight,5,anything,1,never,graduated from grad,white,67.0,computer / hardware / software,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,other
3603,10186,28,single,f,straight,3,anything,2,never,graduated from grad,white,65.0,clerical / administrative,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,yes,no,christianity
17395,49940,46,single,f,straight,2,anything,2,never,graduated from college/university,asian,59.0,executive / management,A,whatever,when drinking,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,no,catholicism
9089,25937,43,single,m,straight,3,anything,2,never,graduated from grad,asian,70.0,computer / hardware / software,A,does_not_matter,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,other
8320,23845,30,single,m,bisexual,4,anything,5,sometimes,graduated from college/university,mixed,67.0,computer / hardware / software,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,Tatheism
6530,18649,23,single,m,straight,3,anything,3,sometimes,space camp,white,72.0,student,A,does_not_matter,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,other
749,2047,19,single,f,straight,3,vegetarian,2,sometimes,working on college/university,white,67.0,student,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,other
10361,29547,25,single,f,straight,5,anything,2,never,graduated from college/university,asian,67.0,sales / marketing / biz dev,A,whatever,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,agnosticism
18014,51865,31,single,f,straight,5,anything,2,never,graduated from college/university,white,66.0,construction / craftsmanship,A,whatever,sometimes,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,none
11042,31480,36,single,f,straight,4,anything,2,never,graduated from grad,asian,60.0,banking / financial / real estate,A,whatever,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,no,buddhism
19927,57219,56,single,f,straight,4,vegetarian,2,never,graduated from college/university,asian,60.0,medicine / health,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,buddhism
18775,54014,48,single,f,straight,3,other,0,never,space camp,white,61.0,other,A,whatever,sometimes,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,yes,Tatheism
5865,16796,21,single,m,straight,5,anything,2,never,graduated from high school,white,71.0,military,A,whatever,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,christianity
9944,28368,24,single,m,straight,5,vegetarian,2,never,graduated from college/university,white,72.0,student,A,does_not_matter,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,Tatheism
17081,48998,24,single,m,straight,5,anything,2,never,graduated from college/university,mixed,70.0,student,A,whatever,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,yes,islam
4909,14097,18,single,m,straight,3,anything,0,never,graduated from high school,mixed,67.0,military,A,whatever,trying to quit,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,no,none
2780,7818,27,single,m,straight,4,anything,2,sometimes,space camp,white,73.0,other,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,Tatheism
837,2260,24,single,m,straight,5,anything,2,sometimes,graduated from college/university,mixed,68.0,science / tech / engineering,A,whatever,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,Tatheism
921,2510,35,single,f,straight,2,other,3,never,graduated from college/university,white,67.0,education / academia,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,other
13989,39868,32,single,m,straight,5,anything,2,never,graduated from grad,indian,67.0,sales / marketing / biz dev,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,Tatheism
19997,57491,19,single,f,straight,3,anything,2,sometimes,working on college/university,mixed,65.0,student,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,agnosticism
18368,52920,19,single,m,straight,5,anything,2,never,working on college/university,white,72.0,science / tech / engineering,A,does_not_matter,no,no,no,yes,no,no,no,yes,no,no,no,yes,no,no,yes,yes,yes,none
6604,18850,46,single,m,straight,3,anything,2,sometimes,graduated from college/university,white,69.0,artistic / musical / writer,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,yes,yes,yes,none
