,age,status,sex,orientation,body_type,diet,drinks,drugs,education,ethnicity,height,job,location,sign,smokes,arabic,chinese,english,german,hindi,italian,japanese,korean,portuguese,russian,spanish,turkish,has kids,wants kids,likes dogs,likes cats,new_religion
19614,37,single,f,straight,5,anything,2,sometimes,graduated from grad,white,62.0,executive / management,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,judaism
19615,27,single,m,gay,5,anything,2,never,working on college/university,asian,65.0,artistic / musical / writer,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,catholicism
19619,43,single,m,straight,5,anything,2,never,graduated from college/university,white,68.0,political / government,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,christianity
19626,30,single,m,straight,5,anything,2,never,working on college/university,mixed,70.0,education / academia,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,no,no,christianity
19627,46,single,f,straight,5,anything,2,sometimes,graduated from college/university,white,68.0,education / academia,A,whatever,no,no,no,yes,yes,no,no,no,no,no,no,no,no,yes,no,yes,no,Tatheism
19630,25,single,m,gay,2,anything,3,never,graduated from college/university,hispanic / latin,68.0,science / tech / engineering,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,Tatheism
19632,27,single,m,straight,3,anything,2,never,working on grad,middle eastern,70.0,medicine / health,A,whatever,no,yes,no,yes,no,no,no,no,no,no,no,yes,no,no,no,yes,yes,none
19634,28,single,m,straight,5,anything,1,never,graduated from college/university,asian,68.0,other,A,whatever,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,agnosticism
19645,24,single,f,straight,3,anything,2,never,graduated from college/university,mixed,58.0,other,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,Tatheism
19646,35,single,f,straight,3,anything,2,never,graduated from college/university,white,66.0,banking / financial / real estate,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,judaism
19647,29,single,m,straight,6,anything,2,never,graduated from college/university,white,70.0,computer / hardware / software,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,agnosticism
19650,36,single,m,straight,5,anything,3,never,graduated from grad,mixed,69.0,medicine / health,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,yes,yes,catholicism
19651,30,single,m,straight,5,anything,2,sometimes,working on college/university,white,67.0,executive / management,A,does_not_matter,yes,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,yes,no,none
19654,38,single,m,straight,5,anything,3,sometimes,graduated from college/university,white,73.0,construction / craftsmanship,A,whatever,sometimes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,other
19656,39,single,m,straight,5,kosher,0,never,graduated from grad,mixed,72.0,entertainment / media,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,judaism
19663,34,single,m,straight,5,anything,2,never,graduated from college/university,white,68.0,transportation,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,none
19670,27,single,m,straight,3,anything,2,never,graduated from college/university,mixed,68.0,entertainment / media,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,yes,yes,none
19684,37,single,m,straight,3,anything,0,never,graduated from college/university,white,76.0,entertainment / media,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,yes,no,none
19685,31,single,f,straight,5,vegetarian,0,never,working on college/university,white,70.0,other,A,whatever,sometimes,no,no,yes,no,no,no,no,no,no,yes,no,no,no,yes,yes,no,other
19689,24,single,f,straight,2,anything,2,never,graduated from college/university,black,65.0,other,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,other
19693,28,single,f,straight,5,anything,2,never,graduated from college/university,asian,66.0,science / tech / engineering,A,does_not_matter,when drinking,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,agnosticism
19700,37,single,f,straight,5,anything,2,never,graduated from grad,white,70.0,education / academia,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,agnosticism
19703,34,single,m,straight,5,anything,2,never,graduated from grad,white,76.0,science / tech / engineering,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,yes,yes,Tatheism
19707,28,single,m,straight,4,anything,2,sometimes,graduated from college/university,mixed,75.0,law / legal services,A,whatever,sometimes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,none
19710,37,single,m,straight,3,anything,3,sometimes,graduated from high school,mixed,72.0,executive / management,A,does_not_matter,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,agnosticism
19712,45,single,f,straight,2,vegetarian,2,sometimes,graduated from college,white,66.0,computer / hardware / software,A,does_not_matter,sometimes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,agnosticism
19713,35,single,f,straight,3,anything,2,never,graduated from grad,white,63.0,medicine / health,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,no,none
19714,18,single,m,straight,5,anything,2,never,graduated from high school,mixed,69.0,student,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,other
19719,28,single,m,straight,5,anything,2,never,graduated from college/university,white,76.0,education / academia,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,yes,yes,other
19720,22,single,f,straight,5,anything,2,never,working on college/university,white,67.0,student,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,agnosticism
19721,21,single,f,straight,5,anything,2,never,working on college/university,mixed,67.0,artistic / musical / writer,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,none
19726,29,single,m,straight,4,anything,2,never,graduated from college/university,asian,68.0,medicine / health,A,whatever,when drinking,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,buddhism
19729,46,single,f,straight,1,vegetarian,0,never,working on grad,white,68.0,political / government,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,Tatheism
19731,27,single,m,straight,3,anything,0,never,working on college/university,mixed,71.0,hospitality / travel,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,catholicism
19740,32,single,f,straight,2,anything,2,never,graduated from grad,white,67.0,education / academia,A,whatever,when drinking,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,other
19742,25,single,m,straight,3,anything,1,never,working on grad,white,66.0,science / tech / engineering,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,Tatheism
19749,36,single,m,straight,5,anything,2,never,working on college/university,black,65.0,political / government,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,christianity
19752,38,single,f,straight,2,anything,2,never,graduated from college/university,hispanic / latin,66.0,medicine / health,A,does_not_matter,no,no,no,yes,no,no,no,no,no,yes,no,yes,no,no,yes,yes,no,catholicism
19753,32,single,m,straight,5,anything,2,never,graduated from college/university,white,72.0,other,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,yes,yes,no,catholicism
19754,38,single,m,straight,5,anything,2,never,graduated from high school,white,69.0,entertainment / media,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,none
19755,22,single,f,straight,2,vegetarian,2,never,working on college/university,white,65.0,retired,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,agnosticism
19756,38,single,f,bisexual,2,anything,2,sometimes,graduated from college/university,white,68.0,political / government,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,christianity
19759,25,single,f,straight,2,anything,2,sometimes,graduated from college/university,white,66.0,banking / financial / real estate,A,whatever,when drinking,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,none
19762,44,single,m,gay,3,anything,2,never,graduated from college/university,mixed,76.0,executive / management,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,christianity
19763,23,single,m,straight,5,anything,1,never,graduated from high school,white,70.0,banking / financial / real estate,A,whatever,yes,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,yes,yes,other
19766,49,single,m,straight,5,anything,2,sometimes,graduated from college/university,white,74.0,other,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,other
19770,31,single,m,straight,5,anything,2,never,graduated from grad,asian,72.0,banking / financial / real estate,A,whatever,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,none
19771,48,single,m,straight,3,anything,2,never,graduated from grad,white,69.0,education / academia,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,none
19772,26,single,m,straight,5,anything,2,never,graduated from college/university,white,73.0,sales / marketing / biz dev,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,Tatheism
19773,37,single,m,straight,5,anything,2,never,graduated from college/university,white,76.0,artistic / musical / writer,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,other
19775,68,single,f,straight,5,vegetarian,2,sometimes,graduated from college/university,hispanic / latin,65.0,medicine / health,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,yes,no,yes,no,yes,yes,other
19778,64,single,f,straight,3,anything,2,never,graduated from grad,white,60.0,artistic / musical / writer,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,none
19781,57,single,m,straight,5,anything,2,never,space camp,white,70.0,science / tech / engineering,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,other
19783,20,single,m,straight,4,anything,2,never,working on college/university,white,74.0,student,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,none
19785,42,single,f,straight,3,anything,2,never,working on college/university,hispanic / latin,64.0,education / academia,A,whatever,no,no,no,yes,no,no,no,no,no,yes,no,yes,no,no,no,yes,no,none
19786,55,single,m,straight,4,anything,2,never,graduated from college/university,white,71.0,computer / hardware / software,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,buddhism
19787,32,single,m,straight,5,anything,2,never,graduated from college/university,mixed,67.0,executive / management,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,yes,yes,buddhism
19789,23,single,m,straight,3,other,2,never,graduated from high school,mixed,73.0,sales / marketing / biz dev,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,yes,other
19790,44,single,m,gay,5,anything,1,never,graduated from grad,white,74.0,artistic / musical / writer,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,catholicism
19791,50,single,f,straight,5,anything,2,never,graduated from college/university,white,64.0,sales / marketing / biz dev,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,none
19793,39,single,m,straight,4,anything,2,sometimes,graduated from college/university,white,69.0,other,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,Tatheism
19794,44,single,f,straight,3,anything,1,never,graduated from college/university,mixed,65.0,sales / marketing / biz dev,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,yes,agnosticism
19798,56,single,m,straight,3,anything,3,never,graduated from college/university,mixed,69.0,science / tech / engineering,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,yes,no,yes,no,yes,no,other
19801,25,single,f,straight,5,anything,2,never,graduated from grad,mixed,71.0,executive / management,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,christianity
19808,29,single,f,straight,5,anything,2,never,graduated from college/university,white,65.0,medicine / health,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,catholicism
19811,43,single,f,straight,3,vegetarian,2,never,graduated from college/university,hispanic / latin,66.0,education / academia,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,yes,no,yes,no,no,no,other
19812,47,single,m,straight,5,anything,2,never,graduated from college/university,mixed,70.0,hospitality / travel,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,yes,no,no,other
19815,26,single,m,straight,5,anything,2,sometimes,graduated from college/university,white,73.0,construction / craftsmanship,A,whatever,no,no,no,yes,no,no,yes,no,no,no,no,yes,no,no,no,yes,no,none
19817,50,single,f,straight,4,anything,2,never,graduated from college/university,white,63.0,hospitality / travel,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,no,other
19820,33,single,m,straight,5,vegetarian,2,never,graduated from college/university,white,72.0,executive / management,A,whatever,no,no,no,yes,no,no,no,yes,no,no,no,yes,no,no,no,yes,yes,Tatheism
19822,42,single,m,straight,3,anything,2,never,graduated from college/university,white,72.0,medicine / health,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,christianity
19826,30,single,m,straight,4,anything,2,never,working on grad,hispanic / latin,74.0,student,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,yes,yes,no,catholicism
19827,39,single,m,straight,3,anything,2,never,graduated from college/university,white,65.0,banking / financial / real estate,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,judaism
19828,41,single,f,straight,3,anything,2,never,graduated from high school,white,64.0,executive / management,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,other
19830,26,seeing someone,f,straight,4,anything,0,never,graduated from college/university,white,64.0,education / academia,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,yes,no,yes,Tatheism
19832,32,single,m,straight,5,anything,2,never,graduated from college/university,asian,70.0,other,A,whatever,sometimes,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,catholicism
19835,45,single,m,straight,5,vegetarian,2,never,graduated from college/university,white,71.0,executive / management,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,other
19838,41,single,f,straight,3,anything,2,sometimes,graduated from grad,white,67.0,artistic / musical / writer,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,agnosticism
19844,22,single,f,bisexual,2,anything,2,sometimes,working on college/university,white,67.0,other,A,matters,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,other
19847,26,single,m,straight,3,anything,2,never,working on college/university,mixed,70.0,other,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,catholicism
19848,41,single,m,straight,5,vegan,2,never,graduated from high school,white,72.0,other,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,Tatheism
19849,49,single,f,straight,2,anything,2,never,graduated from grad,white,68.0,executive / management,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,catholicism
19851,31,single,m,straight,2,anything,2,never,graduated from college/university,hispanic / latin,76.0,other,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,catholicism
19853,25,single,m,straight,5,anything,2,never,working on college/university,white,74.0,science / tech / engineering,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,yes,no,none
19858,51,single,f,straight,1,anything,0,never,graduated from college/university,white,61.0,clerical / administrative,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,none
19859,32,single,m,straight,4,vegetarian,2,never,working on grad,white,75.0,student,A,whatever,no,no,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,no,yes,none
19864,26,single,f,straight,2,anything,2,never,graduated from high school,white,68.0,sales / marketing / biz dev,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,agnosticism
19865,38,single,f,straight,4,anything,2,sometimes,graduated from grad,white,67.0,other,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,agnosticism
19866,44,single,f,straight,3,vegetarian,2,never,graduated from grad,white,61.0,medicine / health,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,catholicism
19867,32,single,f,straight,5,anything,2,never,graduated from college/university,white,63.0,entertainment / media,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,catholicism
19868,32,single,f,straight,5,anything,3,never,graduated from college/university,mixed,66.0,artistic / musical / writer,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,other
19871,38,single,m,straight,6,vegetarian,2,never,graduated from college/university,mixed,74.0,other,A,does_not_matter,no,no,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,Tatheism
19873,51,single,m,gay,5,vegetarian,2,never,graduated from grad,white,72.0,education / academia,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,buddhism
19880,37,single,m,bisexual,5,vegetarian,1,never,graduated from grad,white,72.0,medicine / health,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,none
19883,35,single,m,straight,3,anything,2,never,graduated from college/university,white,64.0,sales / marketing / biz dev,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,agnosticism
19884,38,single,m,straight,5,anything,0,never,graduated from college/university,mixed,68.0,construction / craftsmanship,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,yes,no,christianity
19886,43,single,f,straight,5,anything,2,never,graduated from college/university,mixed,60.0,banking / financial / real estate,A,whatever,when drinking,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,catholicism
19887,26,single,f,straight,5,anything,2,never,working on college/university,hispanic / latin,66.0,executive / management,A,whatever,sometimes,no,no,yes,yes,no,no,no,no,no,no,yes,no,no,no,yes,no,christianity
19890,33,single,m,straight,3,anything,0,never,graduated from grad,asian,68.0,banking / financial / real estate,A,does_not_matter,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,catholicism
19899,38,single,m,gay,5,anything,2,sometimes,graduated from college/university,asian,70.0,hospitality / travel,A,whatever,trying to quit,no,yes,yes,no,no,no,no,no,no,no,yes,no,no,yes,yes,no,buddhism
19901,31,single,m,straight,5,anything,2,never,graduated from grad,asian,72.0,science / tech / engineering,A,whatever,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,yes,yes,yes,agnosticism
19903,27,single,m,straight,5,anything,2,sometimes,working on grad,white,71.0,student,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,Tatheism
19905,39,single,m,straight,5,anything,2,never,graduated from college/university,mixed,66.0,other,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,catholicism
19909,33,single,f,straight,2,anything,2,never,graduated from high school,white,64.0,banking / financial / real estate,A,whatever,when drinking,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,other
19911,37,single,m,straight,5,anything,2,never,graduated from college/university,black,69.0,education / academia,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,yes,no,christianity
19913,32,single,m,straight,3,other,0,never,graduated from high school,white,68.0,political / government,A,does_not_matter,trying to quit,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,agnosticism
19917,57,single,m,straight,2,anything,2,never,graduated from grad,white,72.0,executive / management,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,christianity
19920,43,single,f,straight,3,anything,2,never,graduated from college/university,white,67.0,artistic / musical / writer,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,yes,no,yes,no,yes,no,none
19922,59,single,f,straight,5,anything,2,never,graduated from grad,mixed,69.0,executive / management,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,christianity
19925,38,married,m,bisexual,5,vegetarian,1,never,graduated from college/university,mixed,73.0,medicine / health,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,yes,buddhism
19926,30,single,m,straight,5,anything,2,never,graduated from college/university,white,75.0,construction / craftsmanship,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,catholicism
19927,33,single,m,straight,3,vegetarian,2,never,graduated from college/university,white,72.0,artistic / musical / writer,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,Tatheism
19931,28,single,m,straight,5,anything,2,never,graduated from high school,mixed,65.0,transportation,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,yes,no,catholicism
19932,53,single,m,straight,5,anything,2,never,graduated from grad,white,69.0,medicine / health,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,yes,yes,buddhism
19937,47,single,m,straight,3,vegetarian,1,never,graduated from college,white,68.0,computer / hardware / software,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,yes,Tatheism
19946,25,single,f,straight,5,anything,2,never,graduated from grad,white,64.0,student,A,whatever,sometimes,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,Tatheism
19950,45,single,m,straight,5,vegetarian,2,never,graduated from high school,white,67.0,other,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,agnosticism
19951,45,single,f,straight,5,anything,2,never,graduated from grad,black,68.0,medicine / health,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,agnosticism
19952,30,single,m,straight,5,anything,2,never,graduated from grad,asian,68.0,executive / management,A,whatever,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,none
19954,38,single,f,straight,5,anything,2,never,graduated from college/university,white,64.0,banking / financial / real estate,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,yes,no,yes,christianity
19957,30,single,f,straight,4,anything,2,never,graduated from grad,white,62.0,law / legal services,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,none
19959,33,single,f,straight,5,anything,2,never,graduated from grad,white,65.0,sales / marketing / biz dev,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,none
19961,43,single,m,gay,3,anything,5,never,graduated from high school,mixed,65.0,artistic / musical / writer,A,whatever,trying to quit,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,christianity
19964,24,single,f,straight,5,vegan,0,never,working on grad,mixed,60.0,student,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,agnosticism
19965,38,single,f,straight,5,other,2,never,graduated from college/university,white,63.0,sales / marketing / biz dev,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,judaism
19966,58,single,f,bisexual,2,anything,2,never,graduated from grad,white,66.0,medicine / health,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,yes,no,agnosticism
19969,25,single,m,straight,3,vegan,0,never,working on grad,white,67.0,computer / hardware / software,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,Tatheism
19975,34,single,f,straight,3,anything,2,never,graduated from college/university,white,66.0,medicine / health,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,yes,no,no,other
19979,46,single,m,straight,5,anything,2,never,graduated from college/university,white,73.0,banking / financial / real estate,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,judaism
19982,25,single,m,straight,5,anything,2,sometimes,working on grad,white,68.0,other,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,agnosticism
19985,33,single,f,gay,5,anything,2,never,graduated from college/university,white,65.0,sales / marketing / biz dev,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,none
19992,23,single,f,straight,3,anything,3,sometimes,graduated from college/university,white,67.0,other,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,agnosticism
19993,43,single,f,straight,5,anything,2,never,graduated from grad,white,69.0,medicine / health,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,catholicism
19996,48,single,m,straight,3,anything,2,never,graduated from grad,mixed,69.0,sales / marketing / biz dev,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,yes,no,other
20000,35,single,m,straight,3,anything,2,never,graduated from college/university,mixed,68.0,other,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,yes,yes,none
20001,18,single,m,bisexual,4,anything,2,often,working on college/university,mixed,74.0,unemployed,A,does_not_matter,sometimes,no,no,yes,no,no,no,no,no,no,no,yes,no,no,yes,yes,yes,buddhism
20002,26,single,m,straight,3,anything,2,sometimes,graduated from college/university,indian,64.0,computer / hardware / software,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,buddhism
20003,24,single,m,gay,3,anything,2,sometimes,working on grad,hispanic / latin,69.0,student,A,whatever,no,no,yes,yes,no,no,no,no,no,no,no,yes,no,no,no,yes,yes,agnosticism
20004,24,single,m,straight,5,anything,1,never,working on college/university,white,74.0,entertainment / media,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,catholicism
20005,27,single,f,straight,2,anything,2,sometimes,graduated from college/university,mixed,62.0,other,A,whatever,yes,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,yes,yes,other
20009,31,single,m,straight,3,anything,1,never,working on college/university,white,72.0,sales / marketing / biz dev,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,none
20014,28,single,m,straight,5,anything,2,never,graduated from grad,mixed,69.0,science / tech / engineering,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,none
20017,24,single,m,gay,3,vegetarian,2,sometimes,graduated from college/university,mixed,71.0,science / tech / engineering,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,none
20024,33,single,m,straight,5,anything,2,never,graduated from college/university,white,79.0,executive / management,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,christianity
20027,49,single,m,bisexual,2,anything,2,never,graduated from college/university,white,76.0,education / academia,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,christianity
20030,49,single,f,straight,2,anything,2,never,graduated from grad,black,66.0,law / legal services,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,agnosticism
20035,32,single,m,straight,3,anything,2,never,graduated from college/university,white,70.0,computer / hardware / software,A,does_not_matter,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,Tatheism
20040,20,single,f,straight,3,anything,0,never,graduated from high school,mixed,66.0,other,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,christianity
20043,33,single,f,straight,5,anything,3,never,graduated from grad,white,63.0,science / tech / engineering,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,none
20044,30,single,m,straight,3,anything,0,never,working on grad,white,67.0,science / tech / engineering,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,agnosticism
20046,20,single,m,straight,3,anything,2,sometimes,working on college/university,asian,66.0,student,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,Tatheism
20048,32,single,m,gay,5,vegetarian,1,sometimes,graduated from college/university,white,71.0,construction / craftsmanship,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,no,christianity
