,age,sex,orientation,body_type,diet,drinks,drugs,education,ethnicity,height,job,sign,smokes,arabic,chinese,english,german,hindi,italian,japanese,korean,portuguese,russian,spanish,turkish,has kids,wants kids,likes dogs,likes cats,new_religion,hand-label
33902,36,m,straight,5,anything,2,never,graduated from grad,white,68,sales / marketing / biz dev,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,none,
20559,25,m,straight,3,anything,0,never,graduated from college/university,white,70,hospitality / travel,whatever,trying to quit,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,agnosticism,
32915,28,m,straight,3,anything,3,sometimes,graduated from college/university,asian,71,computer / hardware / software,whatever,sometimes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,catholicism,
21225,33,f,straight,4,anything,0,never,working on college/university,asian,66,medicine / health,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,none,
35411,20,m,gay,5,anything,2,never,working on college/university,mixed,73,sales / marketing / biz dev,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,atheism,
52975,29,f,straight,5,vegetarian,1,never,working on college/university,black,62,student,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,no,yes,other,
6874,37,f,straight,2,anything,1,sometimes,graduated from grad,white,63,science / tech / engineering,matters,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,yes,yes,atheism,
59382,28,f,straight,4,halal,2,never,graduated from college/university,asian,63,student,does_not_matter,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,islam,
34460,56,m,straight,5,anything,2,never,graduated from grad,white,71,artistic / musical / writer,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,other,
26900,19,m,straight,3,anything,2,sometimes,dropped out of high school,hispanic / latin,73,student,whatever,trying to quit,no,no,yes,no,no,no,no,no,no,no,yes,no,no,yes,no,no,other,
36335,25,f,straight,5,anything,2,never,graduated from college/university,mixed,67,other,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,agnosticism,
54572,21,f,straight,5,vegetarian,3,sometimes,working on college/university,mixed,66,student,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,yes,yes,yes,other,
15090,60,m,straight,2,anything,2,never,graduated from college/university,white,70,sales / marketing / biz dev,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,agnosticism,
4806,23,m,bisexual,5,anything,2,never,graduated from college/university,mixed,73,other,whatever,when drinking,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,none,
17281,27,m,straight,5,other,2,never,graduated from college/university,hispanic / latin,72,hospitality / travel,whatever,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,yes,christianity,
36165,34,f,straight,4,anything,2,never,graduated from grad,white,68,computer / hardware / software,does_not_matter,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,yes,yes,yes,judaism,
36500,24,f,straight,2,other,1,never,working on college/university,hispanic / latin,60,medicine / health,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,yes,no,christianity,
1062,37,m,straight,5,vegetarian,2,sometimes,graduated from college/university,white,72,science / tech / engineering,whatever,sometimes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,none,
7896,31,f,straight,2,anything,2,never,graduated from college/university,white,66,entertainment / media,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,judaism,
3836,23,f,straight,5,anything,2,never,graduated from college/university,mixed,67,education / academia,whatever,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,yes,yes,none,
21714,26,m,straight,5,vegetarian,2,never,working on grad,mixed,68,education / academia,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,agnosticism,
12675,28,m,straight,5,anything,2,never,graduated from grad,white,71,executive / management,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,judaism,
9941,31,m,straight,5,anything,2,never,graduated from grad,asian,66,science / tech / engineering,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,christianity,
37042,32,m,straight,5,anything,2,never,working on grad,white,71,student,whatever,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,agnosticism,
34737,42,m,straight,5,anything,2,never,graduated from college/university,asian,64,sales / marketing / biz dev,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,none,
35539,32,f,bisexual,2,anything,1,sometimes,working on college/university,white,64,hospitality / travel,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,other,
41936,27,f,straight,3,anything,2,never,graduated from college/university,white,64,banking / financial / real estate,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,catholicism,
5529,37,m,straight,2,vegetarian,2,never,working on college/university,mixed,68,artistic / musical / writer,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,yes,catholicism,
21397,43,m,straight,3,anything,2,never,graduated from grad,white,68,executive / management,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,other,
34559,30,m,straight,5,vegan,1,sometimes,working on college/university,mixed,72,student,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,other,
21105,32,f,straight,3,anything,2,never,graduated from college/university,asian,64,sales / marketing / biz dev,whatever,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,other,
53612,43,m,straight,4,anything,2,never,graduated from college/university,asian,72,banking / financial / real estate,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,christianity,
7439,23,m,straight,2,anything,2,never,working on grad,asian,68,student,whatever,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,christianity,
650,32,m,straight,5,anything,2,never,graduated from college/university,mixed,68,executive / management,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,none,
58275,33,m,straight,5,anything,2,never,graduated from college/university,asian,64,science / tech / engineering,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,catholicism,
41081,37,m,straight,5,anything,1,never,graduated from college/university,asian,68,executive / management,whatever,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,buddhism,
30267,22,f,bisexual,4,kosher,5,often,graduated from grad,mixed,60,military,whatever,sometimes,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,none,
58785,42,m,bisexual,5,anything,2,sometimes,graduated from grad,white,71,other,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,christianity,
546,32,m,straight,2,anything,1,sometimes,space camp,mixed,83,other,whatever,when drinking,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,buddhism,
54561,57,f,straight,3,anything,2,never,working on college/university,white,61,sales / marketing / biz dev,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,catholicism,
43025,29,m,straight,5,anything,2,never,graduated from college/university,white,74,science / tech / engineering,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,atheism,
45743,25,m,straight,5,anything,4,never,graduated from college/university,white,73,law / legal services,does_not_matter,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,no,other,
31038,31,f,straight,3,anything,2,never,graduated from college/university,white,66,entertainment / media,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,christianity,
7282,29,m,straight,4,anything,2,never,working on college/university,white,74,construction / craftsmanship,does_not_matter,sometimes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,agnosticism,
23808,30,m,straight,3,anything,2,never,graduated from grad,white,75,transportation,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,yes,yes,none,
19608,28,m,straight,5,anything,2,never,graduated from college/university,asian,67,computer / hardware / software,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,atheism,
46474,33,m,gay,5,anything,2,never,graduated from college/university,asian,65,sales / marketing / biz dev,does_not_matter,when drinking,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,other,
40670,28,m,straight,2,anything,2,sometimes,working on college/university,hispanic / latin,73,education / academia,whatever,trying to quit,no,no,yes,no,no,no,no,no,no,no,yes,no,no,yes,yes,no,atheism,
34557,30,f,straight,2,anything,2,never,graduated from grad,white,68,medicine / health,whatever,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,other,
52125,25,f,straight,5,anything,2,never,working on grad,white,64,student,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,judaism,
14240,31,f,straight,2,anything,2,sometimes,working on college/university,white,68,student,does_not_matter,when drinking,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,atheism,
17620,27,f,straight,5,anything,1,never,graduated from high school,asian,63,other,does_not_matter,yes,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,yes,atheism,
24459,36,f,straight,2,anything,1,never,graduated from high school,white,58,artistic / musical / writer,matters,no,no,no,yes,no,no,no,no,no,no,no,yes,no,yes,no,yes,yes,other,
44467,42,m,straight,3,vegetarian,2,never,graduated from grad,white,67,artistic / musical / writer,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,none,
8055,26,m,straight,5,anything,2,sometimes,graduated from college/university,mixed,72,computer / hardware / software,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,yes,no,atheism,
44143,32,m,straight,3,anything,3,never,graduated from college/university,white,70,executive / management,whatever,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,yes,no,none,
28622,45,m,straight,3,anything,2,never,graduated from college/university,white,73,construction / craftsmanship,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,christianity,
15534,42,m,straight,5,anything,2,never,graduated from grad,mixed,68,entertainment / media,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,christianity,
37725,44,m,gay,4,anything,3,never,graduated from college/university,white,75,education / academia,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,atheism,
12025,31,f,straight,3,anything,2,never,working on grad,white,62,sales / marketing / biz dev,whatever,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,yes,yes,none,
9362,61,f,straight,3,anything,2,never,graduated from college/university,white,66,hospitality / travel,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,yes,no,agnosticism,
40778,38,m,gay,3,anything,2,never,graduated from college/university,asian,69,medicine / health,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,catholicism,
56926,27,f,straight,4,anything,2,never,graduated from grad,white,62,sales / marketing / biz dev,whatever,no,no,no,yes,no,no,no,no,no,no,no,yes,no,yes,no,yes,no,judaism,
13132,41,m,straight,5,anything,2,never,graduated from college/university,asian,67,computer / hardware / software,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,catholicism,
59476,24,m,straight,5,anything,3,never,graduated from college/university,white,71,sales / marketing / biz dev,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,none,
28838,24,m,straight,5,anything,2,never,graduated from college/university,asian,67,computer / hardware / software,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,none,
55548,27,f,straight,5,anything,3,sometimes,graduated from high school,white,67,construction / craftsmanship,whatever,when drinking,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,yes,yes,catholicism,
21040,26,m,straight,3,anything,2,sometimes,graduated from college/university,white,75,science / tech / engineering,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,atheism,
27577,44,f,straight,3,anything,2,never,graduated from college/university,white,60,banking / financial / real estate,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,judaism,
54688,48,m,straight,5,anything,2,never,graduated from college/university,white,71,artistic / musical / writer,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,none,
37832,32,m,straight,2,anything,3,sometimes,graduated from grad,white,68,medicine / health,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,no,catholicism,
49988,32,m,straight,5,anything,2,never,graduated from college/university,mixed,75,other,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,other,
1061,33,f,straight,4,vegetarian,2,sometimes,graduated from college/university,white,65,entertainment / media,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,other,
38697,24,f,straight,5,anything,2,never,graduated from college/university,white,62,banking / financial / real estate,does_not_matter,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,yes,yes,yes,judaism,
27078,24,m,straight,5,anything,2,never,graduated from college/university,asian,71,education / academia,whatever,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,none,
17759,34,m,straight,5,anything,2,never,graduated from college/university,white,73,sales / marketing / biz dev,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,catholicism,
23249,59,f,straight,3,anything,2,never,graduated from college/university,hispanic / latin,61,retired,whatever,no,no,no,yes,no,no,no,no,no,no,no,yes,no,yes,no,yes,yes,other,
22099,29,m,straight,5,anything,1,never,working on college/university,white,70,science / tech / engineering,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,yes,yes,atheism,
25635,28,m,straight,6,anything,2,never,graduated from grad,asian,65,science / tech / engineering,does_not_matter,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,none,
6651,50,m,straight,3,anything,2,never,graduated from college/university,white,73,other,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,atheism,
13584,22,m,straight,5,anything,2,never,graduated from high school,black,70,construction / craftsmanship,whatever,sometimes,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,no,christianity,
532,37,m,straight,5,anything,2,sometimes,graduated from college/university,black,75,transportation,does_not_matter,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,christianity,
11635,27,m,straight,3,anything,2,never,graduated from college/university,white,74,student,does_not_matter,sometimes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,christianity,
4445,31,f,straight,3,anything,2,never,graduated from college/university,asian,66,medicine / health,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,none,
11908,30,m,straight,5,anything,2,never,graduated from grad,white,68,executive / management,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,christianity,
14052,28,f,bisexual,4,vegetarian,2,never,graduated from college/university,white,68,education / academia,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,yes,no,agnosticism,
48895,36,m,straight,3,anything,0,never,graduated from college/university,mixed,68,sales / marketing / biz dev,whatever,sometimes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,none,
59572,57,m,straight,5,vegetarian,2,never,graduated from grad,white,70,executive / management,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,judaism,
59751,23,f,straight,3,vegetarian,2,sometimes,space camp,white,68,other,whatever,sometimes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,atheism,
17052,38,m,straight,2,anything,2,never,graduated from college/university,white,71,computer / hardware / software,whatever,trying to quit,no,no,yes,no,no,no,no,no,no,yes,no,no,no,yes,yes,yes,none,
8738,30,f,straight,4,anything,2,never,graduated from grad,white,67,law / legal services,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,none,
33540,41,f,straight,4,vegetarian,2,never,graduated from college/university,white,71,computer / hardware / software,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,agnosticism,
12121,26,f,straight,5,vegetarian,2,sometimes,graduated from college/university,white,64,sales / marketing / biz dev,whatever,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,yes,yes,yes,other,
12541,22,f,bisexual,2,anything,2,sometimes,working on college/university,white,60,student,whatever,when drinking,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,judaism,
52324,36,f,straight,5,vegetarian,2,never,graduated from college/university,white,64,artistic / musical / writer,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,judaism,
22455,40,m,straight,3,anything,2,never,graduated from college/university,mixed,70,other,whatever,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,other,
54222,42,f,straight,2,anything,1,never,graduated from college/university,mixed,64,student,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,agnosticism,
53188,34,m,straight,5,anything,2,never,graduated from grad,white,75,computer / hardware / software,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,none,
34639,23,f,straight,4,anything,1,never,graduated from high school,mixed,62,student,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,none,
39776,59,f,straight,5,anything,2,never,graduated from grad,white,59,medicine / health,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,yes,no,judaism,
54739,27,f,straight,2,anything,2,never,graduated from college/university,white,65,banking / financial / real estate,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,agnosticism,
37314,34,f,straight,2,anything,2,never,graduated from grad,asian,62,law / legal services,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,none,
2299,29,m,gay,4,anything,2,never,graduated from grad,white,71,science / tech / engineering,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,agnosticism,
44658,24,m,straight,5,anything,2,never,graduated from college/university,white,74,artistic / musical / writer,whatever,sometimes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,agnosticism,50
37292,30,f,gay,3,anything,2,never,working on grad,white,66,education / academia,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,judaism,
47811,32,m,straight,5,anything,2,never,graduated from college/university,asian,72,other,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,none,
10422,33,m,straight,3,anything,2,never,graduated from grad,mixed,66,computer / hardware / software,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,atheism,
20435,28,f,straight,3,anything,2,never,graduated from grad,white,59,education / academia,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,no,judaism,
59654,34,f,straight,2,anything,0,never,graduated from college/university,black,68,hospitality / travel,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,christianity,
51432,42,f,straight,5,anything,2,never,graduated from grad,white,64,executive / management,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,yes,no,judaism,
24366,30,m,straight,5,anything,2,never,graduated from grad,white,70,other,does_not_matter,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,yes,no,judaism,
806,42,m,gay,4,anything,2,never,graduated from college/university,white,72,other,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,agnosticism,
43795,26,f,straight,5,anything,2,sometimes,graduated from college/university,white,62,sales / marketing / biz dev,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,judaism,
52885,30,m,straight,2,anything,2,never,working on grad,asian,70,student,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,buddhism,
54815,29,f,straight,5,vegetarian,2,never,graduated from college/university,white,63,education / academia,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,none,
25518,27,f,straight,5,anything,2,never,graduated from grad,white,62,law / legal services,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,none,
52631,18,f,straight,5,anything,1,never,working on college/university,mixed,64,retired,whatever,no,no,no,yes,yes,no,no,no,no,no,no,yes,no,no,no,yes,yes,none,
59791,27,f,straight,5,anything,2,never,graduated from college/university,white,66,banking / financial / real estate,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,catholicism,
49176,25,f,straight,3,anything,2,never,graduated from college/university,asian,65,artistic / musical / writer,whatever,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,catholicism,
34357,31,f,straight,3,anything,2,never,graduated from grad,white,69,law / legal services,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,atheism,
14425,61,m,straight,5,anything,2,never,graduated from college/university,white,72,construction / craftsmanship,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,agnosticism,
6508,43,m,straight,5,anything,0,never,graduated from grad,white,70,unemployed,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,judaism,
53033,37,m,straight,3,anything,1,never,graduated from college/university,asian,67,computer / hardware / software,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,yes,buddhism,
44111,24,m,straight,5,anything,2,never,graduated from college/university,mixed,69,banking / financial / real estate,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,none,
590,44,f,straight,4,vegetarian,2,sometimes,graduated from college/university,white,63,artistic / musical / writer,whatever,when drinking,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,other,
36950,23,m,straight,2,anything,2,never,graduated from college/university,white,75,student,does_not_matter,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,atheism,
26329,34,m,straight,5,anything,1,never,graduated from college/university,white,71,science / tech / engineering,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,atheism,
44302,36,m,gay,3,anything,3,never,graduated from grad,mixed,75,medicine / health,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,yes,yes,no,atheism,
3926,26,m,straight,5,anything,2,never,working on college/university,white,71,construction / craftsmanship,does_not_matter,sometimes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,atheism,
2435,41,m,straight,5,anything,2,never,graduated from college/university,hispanic / latin,68,science / tech / engineering,does_not_matter,no,no,no,yes,no,no,no,no,no,yes,no,yes,no,no,yes,yes,no,catholicism,
11174,30,f,straight,4,anything,1,never,graduated from college/university,white,60,political / government,whatever,no,no,no,yes,no,no,yes,no,no,no,no,yes,no,no,no,yes,yes,agnosticism,
21918,21,f,bisexual,4,anything,2,sometimes,working on college/university,white,64,artistic / musical / writer,whatever,when drinking,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,no,agnosticism,
3769,34,f,bisexual,3,anything,3,sometimes,graduated from grad,white,66,other,does_not_matter,yes,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,atheism,
45537,32,f,straight,2,anything,2,never,graduated from grad,asian,64,other,does_not_matter,sometimes,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,yes,other,
59069,34,m,straight,5,anything,2,never,graduated from college/university,mixed,70,computer / hardware / software,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,none,
26473,34,m,straight,5,anything,2,never,graduated from grad,white,76,science / tech / engineering,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,catholicism,
18311,33,m,straight,5,anything,3,never,graduated from college/university,white,75,computer / hardware / software,whatever,no,no,no,yes,yes,no,no,no,no,no,no,yes,no,no,no,yes,no,agnosticism,
7005,28,f,straight,2,anything,3,sometimes,graduated from college/university,white,65,clerical / administrative,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,other,
44061,30,m,bisexual,3,anything,3,sometimes,working on grad,white,70,student,does_not_matter,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,atheism,
32807,43,f,straight,4,anything,2,never,graduated from grad,white,67,medicine / health,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,judaism,
57139,24,m,straight,5,anything,3,never,working on college/university,asian,68,military,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,atheism,
1581,35,m,straight,3,anything,2,sometimes,graduated from college/university,white,71,transportation,whatever,when drinking,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,other,
8254,36,f,straight,5,anything,2,never,working on grad,mixed,69,other,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,other,
19201,30,m,straight,5,anything,2,never,graduated from grad,white,71,medicine / health,whatever,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,yes,yes,christianity,
30193,39,f,straight,5,anything,2,sometimes,graduated from grad,white,65,artistic / musical / writer,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,agnosticism,
37012,26,m,straight,5,anything,2,never,graduated from college/university,white,74,clerical / administrative,does_not_matter,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,none,
32076,18,m,straight,2,anything,4,sometimes,working on college/university,mixed,74,student,whatever,yes,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,yes,atheism,
24609,56,f,straight,3,anything,1,never,graduated from high school,mixed,66,artistic / musical / writer,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,judaism,
8017,39,m,straight,2,anything,2,never,graduated from grad,white,70,entertainment / media,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,no,other,
56270,25,m,straight,3,anything,3,never,graduated from college/university,white,71,construction / craftsmanship,does_not_matter,when drinking,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,judaism,
10824,35,m,straight,5,anything,1,never,graduated from grad,white,71,computer / hardware / software,whatever,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,agnosticism,
630,48,f,straight,5,anything,2,never,graduated from college/university,white,69,student,whatever,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,none,
20571,37,m,straight,5,other,2,never,space camp,white,75,transportation,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,yes,none,
50740,27,f,bisexual,2,vegetarian,2,never,graduated from college/university,mixed,64,artistic / musical / writer,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,agnosticism,
9185,27,f,straight,4,anything,2,never,graduated from college/university,white,60,other,whatever,no,no,no,yes,no,no,no,no,no,yes,no,yes,no,no,no,no,no,catholicism,
33023,22,f,straight,5,anything,2,never,working on college/university,white,66,student,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,christianity,
58894,37,m,straight,5,anything,2,never,working on grad,white,69,other,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,catholicism,
25124,27,f,straight,3,anything,1,never,graduated from college/university,mixed,65,military,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,christianity,
43055,24,f,straight,3,anything,2,never,graduated from college/university,white,60,hospitality / travel,whatever,no,no,no,yes,no,no,yes,no,no,no,no,yes,no,no,yes,no,no,judaism,
44075,35,f,straight,3,anything,2,never,graduated from college/university,hispanic / latin,65,executive / management,whatever,no,no,no,yes,no,no,no,no,no,no,no,yes,no,yes,no,no,no,none,
2301,31,m,straight,5,anything,2,never,graduated from college/university,mixed,69,executive / management,does_not_matter,no,no,no,yes,no,no,yes,no,no,no,no,yes,no,no,no,no,no,none,
18336,32,m,straight,5,vegetarian,1,sometimes,space camp,mixed,69,artistic / musical / writer,does_not_matter,yes,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,buddhism,
